iter	MultiClass
0	1.332842152
1	1.29038766
2	1.258380201
3	1.228906334
4	1.207037712
5	1.187276234
6	1.170192232
7	1.155609087
8	1.142921047
9	1.132254252
10	1.123044613
11	1.113566753
12	1.105333555
13	1.098484108
14	1.091785222
15	1.084645732
16	1.079802293
17	1.074127561
18	1.07022341
19	1.066167167
20	1.061536897
21	1.057615112
22	1.053502657
23	1.050547356
24	1.047976828
25	1.045571679
26	1.043106396
27	1.041623585
28	1.039166274
29	1.037296614
30	1.035368094
31	1.033075991
32	1.030499084
33	1.029028312
34	1.027339122
35	1.025290048
36	1.023453158
37	1.021277783
38	1.018933132
39	1.017305668
40	1.015027502
41	1.013450132
42	1.011954254
43	1.01015114
44	1.008804132
45	1.007198612
46	1.005259349
47	1.003685424
48	1.002485787
49	1.000605718
50	0.9996411463
51	0.9984173822
52	0.9969967271
53	0.9957170988
54	0.994380727
55	0.9927827675
56	0.9921859855
57	0.991466257
58	0.9903107658
59	0.9893210938
60	0.9884322375
61	0.9878444872
62	0.9867415316
63	0.9855965187
64	0.9844848134
65	0.9837046138
66	0.9827902325
67	0.9815729387
68	0.98082389
69	0.9798126019
70	0.979291702
71	0.9782061951
72	0.9774760613
73	0.9763779145
74	0.974935369
75	0.9742846878
76	0.9735583112
77	0.9728402721
78	0.9723376808
79	0.9711150195
80	0.9702450829
81	0.9691526852
82	0.9683207555
83	0.9674676358
84	0.9662874655
85	0.9655631503
86	0.9644616847
87	0.9634853228
88	0.962614279
89	0.9619988125
90	0.9613445829
91	0.9602316215
92	0.9596532096
93	0.9585538532
94	0.9576185015
95	0.956765895
96	0.9559318738
97	0.9552969312
98	0.954670438
99	0.9538701545
100	0.9528920065
101	0.9519953866
102	0.9509953236
103	0.9501941952
104	0.9490783743
105	0.948445558
106	0.9476656621
107	0.9470000659
108	0.9462719249
109	0.9453924318
110	0.9446493279
111	0.9439637195
112	0.9432837699
113	0.9424693322
114	0.9418964914
115	0.9410633855
116	0.9404198751
117	0.9397969889
118	0.9391424372
119	0.9385778227
120	0.9381114625
121	0.9371141614
122	0.9364908442
123	0.9358006083
124	0.9351690409
125	0.9344319393
126	0.9337184757
127	0.9331018581
128	0.9322249883
129	0.9314236535
130	0.930835873
131	0.9304488687
132	0.9298298274
133	0.9292199702
134	0.9286467552
135	0.9280887056
136	0.9271591135
137	0.9266027564
138	0.9260789103
139	0.9255002382
140	0.9247293026
141	0.9241499056
142	0.9235208823
143	0.9228514383
144	0.9224659865
145	0.9217854177
146	0.9212182033
147	0.9203295459
148	0.9196521875
149	0.9188911176
150	0.9178432417
151	0.9173306923
152	0.9166638944
153	0.9158733691
154	0.9152202934
155	0.9145670736
156	0.9141071253
157	0.9136370846
158	0.9133539321
159	0.91282672
160	0.9123109409
161	0.9119214026
162	0.9115530138
163	0.9112126895
164	0.9102846579
165	0.9098537938
166	0.9090455403
167	0.9086796334
168	0.908207464
169	0.9076828514
170	0.9070307784
171	0.9066433614
172	0.905977028
173	0.9050286889
174	0.9044619542
175	0.9038767426
176	0.9032217332
177	0.9025468997
178	0.902143506
179	0.9017416301
180	0.9011339045
181	0.9006971609
182	0.9001213347
183	0.8996389005
184	0.8991003379
185	0.8985400261
186	0.8982331621
187	0.8978092535
188	0.897532903
189	0.8971505032
190	0.8967253115
191	0.8962560093
192	0.8959233566
193	0.8955124927
194	0.8950963165
195	0.8947808019
196	0.8943849976
197	0.8939690758
198	0.8935927563
199	0.8930683057
200	0.8925843071
201	0.8922391939
202	0.8918872886
203	0.891537996
204	0.8912223799
205	0.890861619
206	0.8905299138
207	0.8899388342
208	0.8893993749
209	0.8889629073
210	0.8885933874
211	0.8881466632
212	0.8877695432
213	0.8873245518
214	0.8869506194
215	0.886393395
216	0.8861831502
217	0.8857695427
218	0.8854866138
219	0.8848886527
220	0.8846886316
221	0.8843852557
222	0.8841111525
223	0.8838250304
224	0.8836062222
225	0.8833175984
226	0.8830767854
227	0.8826996947
228	0.8824278424
229	0.8819852613
230	0.8816408334
231	0.8813745797
232	0.8810850724
233	0.8807287715
234	0.8804785375
235	0.880041278
236	0.8797663186
237	0.8793138503
238	0.8790774541
239	0.8787045726
240	0.8784155619
241	0.8781328967
242	0.8779240641
243	0.8776300846
244	0.8773708989
245	0.8772274134
246	0.8769092146
247	0.8767049396
248	0.8764757149
249	0.8762192526
250	0.8758117902
251	0.8753042034
252	0.8750551845
253	0.8747799374
254	0.8745377393
255	0.8739725554
256	0.8736594289
257	0.8733322273
258	0.8727420144
259	0.8725072349
260	0.8723707591
261	0.8721282634
262	0.8718366082
263	0.8715970057
264	0.8713556879
265	0.8710339153
266	0.8708367928
267	0.8705634591
268	0.8701981471
269	0.8698867061
270	0.8696107294
271	0.8693092235
272	0.8690207142
273	0.8688079283
274	0.8685865749
275	0.8682531725
276	0.868088254
277	0.8678978363
278	0.8675403142
279	0.8672337111
280	0.8669837573
281	0.866807774
282	0.8666150292
283	0.8662942363
284	0.8660980763
285	0.865809096
286	0.8654216999
287	0.8651986478
288	0.8649506766
289	0.8644612631
290	0.8642912293
291	0.8640627413
